sample	nil_id	pedigree
PN9_SID794	Zl00501511	Zl.0050_P1_P5_P1.1.1.1
PN9_SID795	Zl00501512	Zl.0050_P1_P5_P1.2.1.1
PN9_SID796	Zl00501513	Zl.0050_P1_P5_P1.3.1.1
PN9_SID797	Zl00501521	Zl.0050_P1_P5_P2.1.1.1
PN9_SID798	Zl00501523	Zl.0050_P1_P5_P2.3.1.1
PN9_SID799	Zl00501524	Zl.0050_P1_P5_P2.4.1.1
PN9_SID800	Zl00501531	Zl.0050_P1_P5_P3.1.1.1
PN9_SID801	Zl00501532	Zl.0050_P1_P5_P3.2.1.1
PN9_SID802	Zl00501533	Zl.0050_P1_P5_P3.3.1.1
PN9_SID803	Zl00501534	Zl.0050_P1_P5_P3.4.1.1
PN9_SID804	Zh00203111	Zh.0020_P3_P1_P1.1.1.1
PN9_SID805	Zh00203112	Zh.0020_P3_P1_P1.2.1.1
PN9_SID806	Zh00203113	Zh.0020_P3_P1_P1.3.1.1
PN9_SID807	Zh00203211	Zh.0020_P3_P2_P1.1.1.1
PN9_SID808	Zh00203212	Zh.0020_P3_P2_P1.2.1.1
PN9_SID809	Zh00203213	Zh.0020_P3_P2_P1.3.1.1
PN9_SID810	Zh00203214	Zh.0020_P3_P2_P1.4.1.1
PN9_SID811	Zh00203221	Zh.0020_P3_P2_P2.1.1.1
PN9_SID812	Zh00203224	Zh.0020_P3_P2_P2.4.1.1
PN9_SID813	Zh00203231	Zh.0020_P3_P2_P3.1.1.1
PN9_SID814	Zh00203232	Zh.0020_P3_P2_P3.2.1.1
PN9_SID815	Zh00203233	Zh.0020_P3_P2_P3.3.1.1
PN9_SID816	Zh00203241	Zh.0020_P3_P2_P4.1.1.1
PN9_SID817	Zh00203242	Zh.0020_P3_P2_P4.2.1.1
PN9_SID818	Zh00203243	Zh.0020_P3_P2_P4.3.1.1
PN9_SID819	Zh00203244	Zh.0020_P3_P2_P4.4.1.1
PN9_SID820	Zh00203312	Zh.0020_P3_P3_P1.2.1.1
PN9_SID821	Zh00203314	Zh.0020_P3_P3_P1.4.1.1
PN9_SID822	Zh00203315	Zh.0020_P3_P3_P1.5.1.1
PN9_SID823	Zh00203411	Zh.0020_P3_P4_P1.1.1.1
PN9_SID824	Zh00203412	Zh.0020_P3_P4_P1.2.1.1
PN9_SID826	Zh00203414	Zh.0020_P3_P4_P1.4.1.1
PN9_SID827	Zh00203511	Zh.0020_P3_P5_P1.1.1.1
PN9_SID828	Zh00203512	Zh.0020_P3_P5_P1.2.1.1
PN9_SID829	Zh00203513	Zh.0020_P3_P5_P1.3.1.1
PN9_SID830	Zh00203514	Zh.0020_P3_P5_P1.4.1.1
PN9_SID831	Zh00304111	Zh.0030_P4_P1_P1.1.1.1
PN9_SID832	Zh00304112	Zh.0030_P4_P1_P1.2.1.1
PN9_SID833	Zh00304113	Zh.0030_P4_P1_P1.3.1.1
PN9_SID834	Zh00304121	Zh.0030_P4_P1_P2.1.1.1
PN9_SID835	Zh00304122	Zh.0030_P4_P1_P2.2.1.1
PN9_SID836	Zh00304123	Zh.0030_P4_P1_P2.3.1.1
PN9_SID837	Zh00304124	Zh.0030_P4_P1_P2.4.1.1
PN9_SID839	Zh00304211	Zh.0030_P4_P2_P1.1.1.1
PN9_SID840	Zh00304212	Zh.0030_P4_P2_P1.2.1.1
PN9_SID841	Zh00304213	Zh.0030_P4_P2_P1.3.1.1
PN9_SID842	Zh00304311	Zh.0030_P4_P3_P1.1.1.1
PN9_SID843	Zh00304313	Zh.0030_P4_P3_P1.3.1.1
PN9_SID844	Zh00304314	Zh.0030_P4_P3_P1.4.1.1
PN9_SID845	Zh00304321	Zh.0030_P4_P3_P2.1.1.1
PN9_SID846	Zh00304322	Zh.0030_P4_P3_P2.2.1.1
PN9_SID847	Zh00304323	Zh.0030_P4_P3_P2.3.1.1
PN9_SID848	Zh00304331	Zh.0030_P4_P3_P3.1.1.1
PN9_SID849	Zh00304332	Zh.0030_P4_P3_P3.2.1.1
PN9_SID850	Zh00304333	Zh.0030_P4_P3_P3.3.1.1
PN9_SID851	Zh00304334	Zh.0030_P4_P3_P3.4.1.1
PN9_SID852	Zh00304411	Zh.0030_P4_P4_P1.1.1.1
PN9_SID853	Zh00304412	Zh.0030_P4_P4_P1.2.1.1
PN9_SID854	Zh00304413	Zh.0030_P4_P4_P1.3.1.1
PN9_SID855	Zh00304414	Zh.0030_P4_P4_P1.4.1.1
PN9_SID856	Zh00304421	Zh.0030_P4_P4_P2.1.1.1
PN9_SID857	Zh00304422	Zh.0030_P4_P4_P2.2.1.1
PN9_SID858	Zh00304423	Zh.0030_P4_P4_P2.3.1.1
PN9_SID859	Zh00304424	Zh.0030_P4_P4_P2.4.1.1
PN9_SID860	Zh00304511	Zh.0030_P4_P5_P1.1.1.1
PN9_SID861	Zh00304512	Zh.0030_P4_P5_P1.2.1.1
PN9_SID862	Zh00304513	Zh.0030_P4_P5_P1.3.1.1
PN9_SID863	Zh00304514	Zh.0030_P4_P5_P1.4.1.1
PN9_SID864	Zh00304521	Zh.0030_P4_P5_P2.1.1.1
PN10_SID865	Zh00304522	Zh.0030_P4_P5_P2.2.1.1
PN10_SID866	Zh00304523	Zh.0030_P4_P5_P2.3.1.1
PN10_SID867	Zv00301111	Zv.0030_P1_P1_P1.1.1.1
PN10_SID868	Zv00301112	Zv.0030_P1_P1_P1.2.1.1
PN10_SID869	Zv00301211	Zv.0030_P1_P2_P1.1.1.1
PN10_SID870	Zv00301212	Zv.0030_P1_P2_P1.2.1.1
PN10_SID871	Zv00301311	Zv.0030_P1_P3_P1.1.1.1
PN10_SID872	Zv00301312	Zv.0030_P1_P3_P1.2.1.1
PN10_SID873	Zv00301511	Zv.0030_P1_P5_P1.1.1.1
PN10_SID874	Zv00301512	Zv.0030_P1_P5_P1.2.1.1
PN10_SID875	Zv00403111	Zv.0040_P3_P1_P1.1.1.1
PN10_SID876	Zv00403112	Zv.0040_P3_P1_P1.2.1.1
PN10_SID877	Zv00403212	Zv.0040_P3_P2_P1.2.1.1
PN10_SID878	Zv00403311	Zv.0040_P3_P3_P1.1.1.1
PN10_SID879	Zv00403312	Zv.0040_P3_P3_P1.2.1.1
